Taxa S.bin_Mincm Maxcm Feeding guild n
Ammodytes 11_7 14 Plank 144
Ammodytes 12_14 27 Plank 104
Argentina silus_13 20 36 Plank 145
Argentina silus_14 36 65 Plank 141
Argentina sphyraena_12 11 21 Plank 60
Clupea harengus_10 3 6 Plank 32
Clupea harengus_11 6 11 Plank 275
Clupea harengus_12 11 20 Plank 359
Clupea harengus_13 20 36 Plank 1605
Clupea harengus_14 36 67 Plank 202
Echiichthys vipera_12 9 17 Plank 383
Engraulis encrasicolus_12 11 21 Plank 72
Etmopterus spinax_12 13 24 Plank 184
Etmopterus spinax_13 24 44 Plank 240
Gadus morhua_10 3 5 Plank 625
Gadus morhua_11 5 10 Plank 2373
Galeus atlanticus_13 27 50 Plank 134
Galeus melastomus_12 14 27 Plank 1081
Galeus melastomus_13 27 51 Plank 1847
Galeus melastomus_14 51 96 Plank 712
Gobiidae 10_3 5 Plank 53
Helicolenus dactylopterus_11 5 8 Plank 64
Hoplostethus mediterraneus_12 8 15 Plank 35
Hoplostethus mediterraneus_13 15 27 Plank 48
Hyperoplus lanceolatus_12 15 28 Plank 295
Lepidopus caudatus_13 45 82 Plank 96
Lepidorhombus whiffiagonis_11 6 12 Plank 44
Lepidorhombus whiffiagonis_12 12 21 Plank 2388
Lepidorhombus whiffiagonis_13 21 38 Plank 8874
Melanogrammus aeglefinus_9 2 3 Plank 31
Melanogrammus aeglefinus_10 3 6 Plank 138
Merlangius merlangus_9 2 3 Plank 260
Merlangius merlangus_10 3 6 Plank 743
Merlangius merlangus_11 6 11 Plank 1422
Merlangius merlangus_12 11 20 Plank 29299
Merluccius merluccius_11 6 11 Plank 498
Merluccius merluccius_12 11 21 Plank 9093
Micromesistius poutassou_12 12 21 Plank 3054
Micromesistius poutassou_13 21 38 Plank 4373
Sardina pilchardus_13 19 35 Plank 110
Scomber scombrus_12 11 19 Plank 480
Scomber scombrus_13 19 35 Plank 11519
Scomber scombrus_14 35 64 Plank 5684
