S.bin	Min-cm	Max-cm	Feeding-guild	n	Species
13	20	36	Plank	145	Argentina silus
14	36	65	Plank	141	Argentina silus
12	11	21	Plank	60	Argentina sphyraena
10	3	6	Plank	32	Clupea harengus
11	6	11	Plank	275	Clupea harengus
12	11	20	Plank	359	Clupea harengus
13	20	36	Plank	1605	Clupea harengus
14	36	67	Plank	202	Clupea harengus
12	9	17	Plank	383	Echiichthys vipera
12	11	21	Plank	72	Engraulis encrasicolus
12	13	24	Plank	184	Etmopterus spinax
13	24	44	Plank	240	Etmopterus spinax
10	3	5	Plank	625	Gadus morhua
11	5	10	Plank	2373	Gadus morhua
13	27	50	Plank	134	Galeus atlanticus
12	14	27	Plank	1081	Galeus melastomus
13	27	51	Plank	1847	Galeus melastomus
14	51	96	Plank	712	Galeus melastomus
11	5	8	Plank	64	Helicolenus dactylopterus
12	8	15	Plank	35	Hoplostethus mediterraneus
13	15	27	Plank	48	Hoplostethus mediterraneus
12	15	28	Plank	295	Hyperoplus lanceolatus
13	45	82	Plank	96	Lepidopus caudatus
11	6	12	Plank	44	Lepidorhombus whiffiagonis
12	12	21	Plank	2388	Lepidorhombus whiffiagonis
13	21	38	Plank	8874	Lepidorhombus whiffiagonis
9	2	3	Plank	31	Melanogrammus aeglefinus
10	3	6	Plank	138	Melanogrammus aeglefinus
9	2	3	Plank	260	Merlangius merlangus
10	3	6	Plank	743	Merlangius merlangus
11	6	11	Plank	1422	Merlangius merlangus
12	11	20	Plank	29299	Merlangius merlangus
11	6	11	Plank	498	Merluccius merluccius
12	11	21	Plank	9093	Merluccius merluccius
12	12	21	Plank	3054	Micromesistius poutassou
13	21	38	Plank	4373	Micromesistius poutassou
13	19	35	Plank	110	Sardina pilchardus
12	11	19	Plank	480	Scomber scombrus
13	19	35	Plank	11519	Scomber scombrus
14	35	64	Plank	5684	Scomber scombrus
12	9	16	Plank	96	Scophthalmus rhombus
12	15	27	Plank	1223	Scyliorhinus canicula
13	15	28	Plank	861	Sebastes norvegicus
14	28	53	Plank	901	Sebastes norvegicus
